WL,apoCD,apoMME,CaCD,CaMME,CuCD,CuMME,CaCuCD,CaCuMME,CuEDTACD,CuEDTAMME,CaCuEDTACD,CaCuEDTAMME
210,-57.1131,-27832.8947368421,-66.4242,-32370.4678362573,-61.3378,-29891.7153996101,-66.9213,-32612.7192982456,-56.7077,-27635.3313840156,-56.4873,-27527.9239766082
209,-59.0463,-28775,-67.6654,-32975.3411306043,-62.602,-30507.7972709552,-67.9914,-33134.2105263158,-57.6132,-28076.6081871345,-58.4083,-28464.0838206628
208,-59.5605,-29025.5847953216,-68.1241,-33198.8791423002,-62.9961,-30699.8538011696,-67.8128,-33047.1734892788,-58.9021,-28704.7270955166,-58.9678,-28736.7446393762
207,-58.6793,-28596.1500974659,-66.1418,-32232.8460038986,-61.2569,-29852.2904483431,-66.1525,-32238.0604288499,-57.582,-28061.4035087719,-58.4896,-28503.7037037037
206,-55.5348,-27063.7426900585,-60.9565,-29705.8966861598,-57.4928,-28017.9337231969,-61.7687,-30101.7056530214,-54.1331,-26380.6530214425,-54.8727,-26741.081871345
205,-51.5673,-25130.2631578947,-54.9627,-26784.9415204678,-51.7665,-25227.3391812865,-54.8121,-26711.5497076023,-49.8486,-24292.6900584795,-49.9213,-24328.1189083821
204,-44.2519,-21565.253411306,-46.4046,-22614.3274853801,-44.8969,-21879.5808966862,-47.5137,-23154.8245614035,-43.1664,-21036.2573099415,-44.2894,-21583.5282651072
203,-36.1451,-17614.5711500975,-36.3769,-17727.5341130604,-35.4671,-17284.1617933723,-37.718,-18381.0916179337,-35.6606,-17378.4600389864,-35.6426,-17369.6881091618
202,-26.0983,-12718.469785575,-24.3186,-11851.1695906433,-23.8046,-11600.6822612086,-25.5258,-12439.4736842105,-25.4513,-12403.1676413255,-23.391,-11399.1228070175
201,-12.4455,-6065.0584795322,-8.53429,-4159.0107212476,-8.18062,-3986.656920078,-10.2661,-5002.9727095517,-9.30206,-4533.1676413255,-10.7323,-5230.1656920078
200,1.3184,642.4951267057,12.2796,5984.2105263158,8.7549,4266.5204678363,9.04454,4407.6705653022,2.57666,1255.6822612086,-0.376526,-183.492202729
